"ProductId","Name","SKU","AnyImage","Price","StatusSet","Visible","RawVisibleFlag","QCSet"
"4e1863fe-53b7-46b2-bcd0-cbb37da6d17d","3 inch industrial electric blower","generic blower 3cx","True",,"ACTIVE=False;INACTIVE=True;DELETED=False","False","False","APPROVED"
"8a913ac3-2fee-40f4-98c5-a3f43108a159","4 inch industrial electric blower","generic blower t6","True",,"ACTIVE=False;INACTIVE=True;DELETED=False","False","False","APPROVED"
"2e52d553-eed0-4776-a5be-5456ece68048","200 W solar Floodlights Solar Security Lights upto 15hrs Working time Light sensor , Lithium Battery","Alltops 200w ww10","True",,"ACTIVE=False;INACTIVE=True;DELETED=False","False","False","APPROVED"
"234c0462-75f2-4c64-b551-4eca4a45d8e3","100 W Solar Floodlights Solar Security Lights upto 15hrs Working time Light sensor , Lithium Battery","Alltops 100w ww6","True",,"ACTIVE=False;INACTIVE=True;DELETED=False","False","False","APPROVED"
"17f4af77-e94a-4818-9ba9-75d198e7aacd","100 Watts Solar Floodlights Solar Security Lights upto 15hrs Working time Light sensor , Lithium Battery","Alltops 100w ww8","True",,"ACTIVE=False;INACTIVE=True;DELETED=False","False","False","APPROVED"
"fb30365d-e3d2-4c1f-8724-b56804dbaf2a","300 Watts Solar Floodlight Solar Security Lights upto 15hrs Working time Light sensor , Lithium Battery","Alltops 300w ww16","True",,"ACTIVE=False;INACTIVE=True;DELETED=False","False","False","APPROVED"
"319d9391-4fb9-41bd-82ca-8aecaf309eaf","200W Solar Floodlight Solar Security Lights upto 15hrs Working time Light sensor , Lithium Battery","Alltops 200w ww9","True",,"ACTIVE=False;INACTIVE=True;DELETED=False","False","False","APPROVED"
"a489a571-0089-4615-808a-c4313bffd9c4","300 W Solar Floodlights Solar Security Lights upto 15hrs Working time Light sensor , Lithium Battery","Alltops 300w ww14","True",,"ACTIVE=False;INACTIVE=True;DELETED=False","False","False","APPROVED"
"34cfa724-7351-4988-b075-f2f65d115bc8","50 Watts Solar Floodlights Solar Security lights upto 15hrs Working time Light sensor , Lithium Battery","Alltops 50w ww3","True",,"ACTIVE=False;INACTIVE=True;DELETED=False","False","False","APPROVED"
"833e3ce0-5590-41a0-b7de-5f03887a4238","50W solar floodlight Solar security lights upto 15hrs Working time Light sensor , Lithium Battery","Alltops 50w ww1","True",,"ACTIVE=False;INACTIVE=True;DELETED=False","False","False","APPROVED"
"b7a59b83-ef0d-4fd2-bbbc-53b7b2389433","50Watts solar Floodlights Solar Security Lights upto 15hrs Working time Light sensor , Lithium Battery","Alltops 50w ww4","True",,"ACTIVE=False;INACTIVE=True;DELETED=False","False","False","APPROVED"
"fa3d3b1a-398e-4ffc-94e9-00a9425e64bf","50 W Solar Floodlights Solar Security light upto 15hrs Working time Light sensor , Lithium Battery","Alltops 50w ww2","True",,"ACTIVE=False;INACTIVE=True;DELETED=False","False","False","APPROVED"
"88f69c5d-a678-47ca-af25-e2b1b550e420","200Watts Solar Floodlights Solar Security Lights upto 15hrs Working time Light sensor , Lithium Battery","Alltops 200w ww11","True",,"ACTIVE=False;INACTIVE=True;DELETED=False","False","False","APPROVED"
"8afc4d59-bc68-4baa-978b-760083cb0e3a","300Watts Solar Floodlights Solar Security Lights upto 15hrs Working time Light sensor , Lithium Battery","Alltops 300w ww15","True",,"ACTIVE=False;INACTIVE=True;DELETED=False","False","False","APPROVED"
"32cceea9-1e68-4805-a7e2-5bebde7ced97","100W Solar Floodlight Solar Security lights upto 15hrs Working time Light sensor , Lithium Battery","Alltops 100w ww5","True",,"ACTIVE=False;INACTIVE=True;DELETED=False","False","False","APPROVED"
"cd2b06d2-d601-4a5c-b5ac-e293efea93ed","300W Solar Floodlights Solar Security lights upto 15hrs Working time Light sensor , Lithium Battery","Alltops 300w ww13","True",,"ACTIVE=False;INACTIVE=True;DELETED=False","False","False","APPROVED"
"e14dd549-ecff-46a9-a341-f5fbe7a2962e","6L Foam Fire Extingusher ","Informed sy fire 24","True",,"ACTIVE=False;INACTIVE=True;DELETED=False","False","False","APPROVED"
"19b8ca9c-4dae-4345-a2a5-a8f52c83745f"," Solar Lighting System with 4 Bright LED Bulbs, 12V 9AH Battery and 20W MONO Solar Panel","YACHU 9AH G","True",,"ACTIVE=False;INACTIVE=True;DELETED=False","False","False","APPROVED"
