"ProductId","Name","SKU","AnyImage","Price","StatusSet","Visible","RawVisibleFlag","QCSet"
"a882ed65-f188-46d0-9a54-48323207e812","250 Watts Fullkit.250watts Panel+200AH Battery+600 Watts Inverter+20A Controller+4 Dc Bulbs+10M Cable","A120BC","True",,"ACTIVE=True;INACTIVE=False;DELETED=False","False","False","APPROVED"
"840d84c3-9c79-44f1-a9e5-a6b4da653054","250 Watts Fullkit.250 Watts All Weather Solar Panel + 200AH Battery + 600 Watts Inverter + 20A Controller German Technology","A120BD","True",,"ACTIVE=True;INACTIVE=False;DELETED=False","False","False","APPROVED"
"44343eb3-d964-4666-883f-22e6d7bbfc11","300 Watts All Weather Solar Panel + 200AH Battery + 600 Watts Inverter + 20A Controller + 5 DC Bulbs + 10M Cable German Technology","A120Q1","True",,"ACTIVE=True;INACTIVE=False;DELETED=False","False","False","APPROVED"
"d5f1c35d-4a3b-4bf7-8589-8dbb0653907b","300 Watts All Weather Solar Panel + 200AH Solar Battery + 600 Watts Solar Inverter + 20A Controller + 5 DC Bulbs + 10M Cable German Technology","A120Q2","True",,"ACTIVE=True;INACTIVE=False;DELETED=False","False","False","APPROVED"
"417d5698-d13d-4dd0-aeac-7cdf6dc3d1dd","300 Watts All Weather Solar Panel + 200AH Battery + 600 Watts Inverter + 20A Controller German Technology","A120Q3","True",,"ACTIVE=True;INACTIVE=False;DELETED=False","False","False","APPROVED"
"9cf0e7c1-310a-41c3-a9dc-ab1d144a3c57","100 Watts Solar Panel Full Kit + 80AH Battery +300w Powerful Inverter +10 Amp Charge Controller","100NA","True",,"ACTIVE=True;INACTIVE=False;DELETED=False","False","False","APPROVED"
"62dd156f-72df-4389-a0b4-43950a77de7f","100 Watts Solar Panel Full Kit + 80AH Battery +300w Powerful Inverter +10 Amp Charge Controller + Cables","100NAB","True",,"ACTIVE=True;INACTIVE=False;DELETED=False","False","False","APPROVED"
"2cb13f1c-150a-4197-8a1f-bc65610271b2","100 Watts Solar Panel Full Kit + 80AH Battery +300w Powerful Inverter +10 Amp Charge Controller + 10M Cables + 5 DC Bulbs","100NAC","True",,"ACTIVE=True;INACTIVE=False;DELETED=False","True","True","APPROVED"
"0a59b593-f3f1-4258-b952-3e675649bb01","300  Watts Solar Panel Full Kit + 150AH Solar Battery + 600 Watts Power Inverter + 20 A Digital Controller","30A","True",,"ACTIVE=True;INACTIVE=False;DELETED=False","False","False","APPROVED"
"fec9c805-2a7e-4faa-a369-37b33b0f431e","300  Watts Solar Panel Full Kit + 150AH Solar Battery + 600 Watts Power Inverter + 20 A Digital Controller + 20M Cable","30B","True",,"ACTIVE=True;INACTIVE=False;DELETED=False","False","False","APPROVED"
"7c594f4e-bcfd-4864-ae3c-17b20d90945b","300  Watts Solar Panel Full Kit + 150AH Solar Battery + 600 Watts Power Inverter + 20 A Digital Controller + 20M Cable + 4 DC Bulbs","30C","True",,"ACTIVE=True;INACTIVE=False;DELETED=False","False","False","APPROVED"
"c31f817f-0560-444d-b9f1-bdc52a78fc92","300  Watts Solar Panel Full Kit + 150AH Solar Battery + 600 Watts Power Inverter + 20 A Digital Controller","SOLARMAX30B","True",,"ACTIVE=True;INACTIVE=False;DELETED=False","False","False","APPROVED"
"171f07f1-0ab9-4239-8078-40da1e8c451f","300  Watts Solar Panel Full Kit + 150AH Solar Battery + 600 Watts Power Inverter + 20 A Digital Controller + 20M Cable + 4 DC Bulbs","30DD","True",,"ACTIVE=True;INACTIVE=False;DELETED=False","False","False","APPROVED"
"0d56e124-060e-4722-b083-5c0be6861f8a","300 Watts Solar Panel + 200AH Battery + 1000w Inverter + 30 Amp Charge Controller + 4 Bulbs + 10M Dropping Wire","30DDA","True",,"ACTIVE=True;INACTIVE=False;DELETED=False","False","False","APPROVED"
"22c85d63-d974-4cd7-ad1e-ea2f57df1828","300 Watts Solar Panel + 200AH Battery + 1000w Inverter + 30 Amp Charge Controller + 4 Bulbs + 10M Dropping Wire German Technology ","30DDD","True",,"ACTIVE=True;INACTIVE=False;DELETED=False","False","False","APPROVED"
"ad1d3eda-6d5a-4605-a8e3-75ab16b228e2","60 Watts Solar Panel Full Kit + 80AH Solar Battery + Inverter + Controller ","60A","True",,"ACTIVE=True;INACTIVE=False;DELETED=False","False","False","APPROVED"
